Summary Levels for 5-Year ACS Data Products,,,,,,,,
"Summary
Level
 Code","Geographic Component
 Code",Summary Level Description,Detailed Tables,"Data
Profiles","Comparison 
Profiles",Subject Tables for Subpopulation Groups,"Subject
Tables for Specific Topics",Replicate Weight Detailed Tables
291,00,American Indian Area (Reservation Only)-Tribal Census Tract    ,Ö,,,,,
292,00,American Indian Area (Off-Reservation Trust Land Only)-Tribal Census Tract   ,Ö,,,,,
293,00,American Indian Area (Reservation Only)-Tribal Census Tract-Tribal Block Group  ,Ö,,,,,
294,00,American Indian Area (Off-Reservation Trust Land Only)-Tribal Census Tract-Tribal Block Group ,Ö,,,,,
310,00,Metropolitan Statistical Area/Micropolitan Statistical Area,Ö,Ö,Ö,Ö,Ö,Ö
311,00,Metropolitan Statistical Area/Micropolitan Statistical Area-State,Ö,Ö,,,,
312,00,Metropolitan Statistical Area/Micropolitan Statistical Area-State-Principal City,Ö,Ö,,Ö,Ö,
313,00,Metropolitan Statistical Area/Micropolitan Statistical Area-State-County,Ö,Ö,,,,
314,00,Metropolitan Statistical Area-Metropolitan Division,Ö,Ö,,Ö,Ö,
315,00,Metropolitan Statistical Area-Metropolitan Division-State,Ö,Ö,,,,
316,00,Metropolitan Statistical Area-Metropolitan Division-State-County,Ö,Ö,,,,
320,00,State-Metropolitan Statistical Area/Micropolitan Statistical Area,Ö,,,,,
321,00,State-Metropolitan Statistical Area/Micropolitan Statistical Area-Principal City,Ö,,,,,
322,00,State-Metropolitan Statistical Area/Micropolitan Statistical Area-County,Ö,,,,,
323,00,State-Metropolitan Statistical Area-Metropolitan Division,Ö,,,,,
324,00,State-Metropolitan Statistical Area-Metropolitan Division-County,Ö,,,,,
330,00,Combined Statistical Area,Ö,Ö,,Ö,Ö,
331,00,Combined Statistical Area-State,Ö,Ö,,,,
332,00,Combined Statistical Area-Metropolitan Statistical Area/Micropolitan Statistical Area,Ö,Ö,,,,
333,00,Combined Statistical Area-Metropolitan Statistical Area/Micropolitan Statistical Area-State,Ö,Ö,,,,
340,00,State-Combined Statistical Area,Ö,,,,,
341,00,State-Combined Statistical Area-Metropolitan Statistical Area/Micropolitan Statistical Area,Ö,,,,,
400,00,Urban Area,Ö,Ö,,Ö,Ö,
410,00,Urban Area-State  ,Ö,Ö,,,,
430,00,Urban Area-State-County  ,Ö,,,,,
500,00,State-Congressional District ,Ö,Ö,,Ö,Ö,Ö
510,00,State-Congressional District-County  ,Ö,Ö,,,,
550,00,State-Congressional District-American Indian Area/Alaska Native Area/Hawaiian Home Land  ,Ö,Ö,,,,
610,00,State-State Legislative District (Upper Chamber),Ö,Ö,,Ö,Ö,
612,00,State-State Legislative District (Upper Chamber)-County  ,Ö,,,,,
620,00,State-State Legislative District (Lower Chamber),Ö,Ö,,Ö,Ö,
622,00,State-State Legislative District (Lower Chamber)-County  ,Ö,,,,,
