municipality_name,pv_feature_count,pv_area_m2,building_count,rooftop_area_m2,buildings_with_pv,tract_count,block_group_count,municipality_area_km2,raster_item_count,raster_sources,imagery_resolution_label,pv_building_pct,rooftop_area_km2,census_units_label
San Juan,9938,570901.5130808341,126146,13013732.775306804,3073,170,412,128.1664858953854,10,naip_2021_pr,10 : ~60 cm,2.436066145577347,13.013732775306805,412 / 170
Cabo Rojo,1582,810646.2691431069,48133,2526220.806678113,1579,19,46,186.98201837629438,13,naip_2021_pr,13 : ~60 cm,3.28049363222737,2.526220806678113,46 / 19
Isabela,1123,30494.579914805523,39030,2074815.679969712,414,23,45,143.2933575208788,11,naip_2021_pr,11 : ~60 cm,1.0607225211375866,2.0748156799697117,45 / 23
Juana Díaz,752,355346.11600427603,32680,1955578.9749567076,794,25,52,157.16747727744846,29,"maxar_open_data, naip_2021_pr","4 : ~30 cm
25 : ~60 cm",2.429620563035496,1.9555789749567076,52 / 25
Guayama,566,238731.45448039914,29459,1938924.310009043,581,18,43,170.21492232360748,11,naip_2021_pr,11 : ~60 cm,1.972232594453308,1.938924310009043,43 / 18
