bg_geoid,municipio,building_count,osm_pv_count,detected_pv_count,overlap_count,total_detected_area_deg2,detected_pv_rate,annual_flux_mean_kwh_per_kw_yr,flux_pixel_count,median_household_income_usd,total_housing_units,tenure_total,tenure_owner_occupied,tenure_renter_occupied,race_total,nh_white_alone,nh_black_alone,nh_aian_alone,nh_asian_alone,nh_nhpi_alone,nh_other_alone,nh_two_or_more,hispanic_or_latino,edu_total_25plus,edu_bachelors,edu_masters,edu_professional,edu_doctorate,pct_owner_occupied,pct_bachelor_plus,diversity_index,urban_block_count,total_urban_pop,total_urban_housing_units,urban_land_area_m2,pct_urban_pop,pct_urban_population,pct_urban_housing_units,pct_urban_land_area,is_urban
721270034001,San Juan,185,5,18,3,1.3330158215816617e-07,0.0972972972972973,,0,16538.0,707,486,242,244,1009,0,0,0,0,0,0,0,1009,690,36,8,0,0,0.49794238683127573,0.06376811594202898,0.0,9,990.0,659.0,151425.0,0.9639727361246349,0.9639727361246349,0.9427753934191703,1.0,true
721270034002,San Juan,45,0,13,0,6.420681069192094e-08,0.28888888888888886,,0,6136.0,640,450,0,450,948,0,0,0,0,0,0,0,948,541,0,0,0,0,0.0,0.0,0.0,2,1137.0,607.0,72833.0,1.1404212637913742,1.1404212637913742,1.2362525458248472,1.0,true
721270035011,San Juan,145,3,8,3,1.0286695531150024e-07,0.05517241379310345,1729.0142822265625,2724,20536.0,369,311,155,156,983,0,0,0,0,0,0,0,983,779,81,0,0,0,0.4983922829581994,0.10397946084724005,0.0,8,1134.0,497.0,112557.0,1.2102454642475988,1.2102454642475988,1.087527352297593,1.0,true
721270035012,San Juan,138,1,38,1,5.246550207023551e-07,0.2753623188405797,1681.7874812661876,426733,5725.0,806,705,0,705,1637,0,0,0,0,0,0,0,1637,899,69,0,0,0,0.0,0.07675194660734148,0.0,11,1563.0,676.0,171766.0,1.0698151950718686,1.0698151950718686,0.9428172942817294,1.0,true
721270035013,San Juan,247,2,17,1,2.7463813726850356e-07,0.06882591093117409,1591.8947805249873,367041,16016.0,857,700,72,628,1802,0,0,0,0,0,0,0,1802,1006,77,0,0,0,0.10285714285714286,0.07654075546719682,0.0,6,1437.0,627.0,287703.0,0.946017116524029,0.946017116524029,1.0609137055837563,1.0,true
721270035014,San Juan,238,3,3,1,2.8215285723885954e-08,0.012605042016806723,1537.245734484016,650299,,187,138,54,84,384,0,0,0,0,0,0,0,384,250,47,0,0,0,0.391304347826087,0.188,0.0,8,258.0,155.0,90535.0,0.911660777385159,0.911660777385159,1.1742424242424243,1.0,true
721270035021,San Juan,804,7,11,4,4.6673657579289116e-07,0.013681592039800995,1562.3049476537428,1997039,15466.0,938,573,321,252,1047,0,0,0,0,0,0,0,1047,825,97,12,0,0,0.5602094240837696,0.1321212121212121,0.0,30,1332.0,877.0,258179.0,1.2010820559062219,1.2010820559062219,1.018583042973287,1.0,true
721270036001,San Juan,251,5,14,4,1.305665834070488e-07,0.055776892430278883,,0,6780.0,220,167,62,105,326,0,17,0,0,0,0,0,309,235,0,0,0,0,0.3712574850299401,0.0,0.09885580940193472,7,510.0,319.0,111453.0,0.7846153846153846,0.7846153846153846,0.8812154696132597,1.0,true
721270036002,San Juan,393,2,12,1,3.820437875703415e-08,0.030534351145038167,,0,20750.0,439,278,119,159,623,0,0,0,0,0,14,0,609,477,35,0,6,0,0.42805755395683454,0.0859538784067086,0.04393384673652334,8,489.0,437.0,85698.0,1.1241379310344828,1.1241379310344828,1.1262886597938144,1.0,true
721270037011,San Juan,478,2,11,1,2.1611647781631623e-08,0.02301255230125523,1549.8853818525486,585164,16176.0,547,426,202,224,975,0,0,0,0,0,0,0,975,778,82,14,0,0,0.47417840375586856,0.12339331619537275,0.0,6,913.0,562.0,96566.0,1.2222222222222223,1.2222222222222223,1.0274223034734917,1.0,true
721270037012,San Juan,298,6,16,4,9.235580183238737e-08,0.053691275167785234,1621.2944927954215,176832,18646.0,339,269,160,109,574,0,0,0,0,0,0,0,574,491,69,12,0,0,0.5947955390334573,0.164969450101833,0.0,3,421.0,271.0,86062.0,0.8271119842829077,0.8271119842829077,0.7038961038961039,1.0,true
721270037021,San Juan,264,3,4,0,3.780375238496572e-09,0.015151515151515152,,0,,305,195,151,44,298,0,0,0,0,0,0,0,298,232,0,10,0,0,0.7743589743589744,0.04310344827586207,0.0,11,488.0,296.0,72400.0,1.3785310734463276,1.3785310734463276,0.7872340425531915,1.0,true
721270037022,San Juan,655,4,9,2,2.4654071484813687e-08,0.013740458015267175,1540.3652885843676,45514,21976.0,604,353,184,169,820,0,0,0,0,0,0,0,820,678,42,6,0,0,0.5212464589235127,0.07079646017699115,0.0,17,943.0,704.0,156649.0,0.9593082400813835,0.9593082400813835,1.1733333333333333,1.0,true
721270038001,San Juan,416,8,10,5,5.561487069785899e-08,0.02403846153846154,1659.1797165764171,55925,21875.0,635,430,247,183,1254,0,11,0,0,0,0,0,1243,924,93,16,0,0,0.5744186046511628,0.11796536796536797,0.017389966143428692,16,1047.0,605.0,102635.0,0.8624382207578254,0.8624382207578254,1.0670194003527338,1.0,true
721270038002,San Juan,325,1,17,1,6.518633027584898e-08,0.052307692307692305,1606.4421053036522,178268,29244.0,557,404,166,238,919,0,0,0,0,0,0,0,919,715,51,17,0,34,0.41089108910891087,0.14265734265734265,0.0,18,796.0,493.0,99961.0,0.7967967967967968,0.7967967967967968,0.9426386233269598,1.0,true
721270039021,San Juan,482,3,9,1,2.704019241504172e-07,0.01867219917012448,,0,18803.0,487,334,241,93,651,0,0,0,0,0,0,0,651,554,47,10,17,0,0.7215568862275449,0.13357400722021662,0.0,22,739.0,435.0,325648.0,0.7548518896833504,0.7548518896833504,0.7372881355932204,1.0,true
721270039022,San Juan,47,1,25,1,3.3856753890238114e-06,0.5319148936170213,1616.8292674513839,410339,8425.0,532,461,92,369,1202,10,0,0,0,0,0,0,1192,583,59,0,0,0,0.19956616052060738,0.10120068610634649,0.01650050802738634,9,1105.0,512.0,527132.0,0.9650655021834061,0.9650655021834061,0.9258589511754068,1.0,true
721270039023,San Juan,154,3,12,1,3.263311819444644e-07,0.07792207792207792,1626.6174195490369,132493,33399.0,373,289,54,235,542,0,0,0,0,0,0,0,542,404,93,64,0,31,0.18685121107266436,0.46534653465346537,0.0,14,575.0,362.0,167516.0,1.5333333333333334,1.5333333333333334,1.2107023411371238,1.0,true
721270039024,San Juan,232,6,16,4,6.792285478529314e-08,0.06896551724137931,,0,24776.0,721,603,295,308,1184,10,26,0,0,0,25,0,1123,891,288,51,39,36,0.4892205638474295,0.46464646464646464,0.0993868129108838,11,1185.0,720.0,117460.0,1.116870876531574,1.116870876531574,1.1076923076923078,1.0,true
721270042001,San Juan,207,2,0,0,0.0,0.0,,0,36970.0,776,588,417,171,954,0,70,0,0,0,0,0,884,758,178,48,14,42,0.7091836734693877,0.3720316622691293,0.13598266594587938,6,960.0,643.0,84092.0,0.96,0.96,0.888121546961326,1.0,true
721270042002,San Juan,752,49,103,47,6.350335134057736e-06,0.13696808510638298,1702.8416892758964,2698739,13650.0,719,467,150,317,661,16,0,0,0,0,0,0,645,531,106,28,18,0,0.32119914346895073,0.2862523540489642,0.04723966117444567,32,1002.0,831.0,1679649.0,1.1059602649006623,1.1059602649006623,0.9764982373678026,1.0,true
721270043061,San Juan,32,0,12,0,6.039791804496504e-08,0.375,1588.634782040741,186529,8633.0,407,315,0,315,572,0,0,0,0,0,0,0,572,405,0,0,0,0,0.0,0.0,0.0,1,676.0,365.0,42899.0,0.9135135135135135,0.9135135135135135,0.9656084656084656,1.0,true
721270043062,San Juan,60,0,13,0,5.566528140651176e-08,0.21666666666666667,1643.639797269717,962793,2499.0,495,323,0,323,670,0,0,0,0,0,0,0,670,437,8,0,6,0,0.0,0.032036613272311214,0.0,2,859.0,470.0,72964.0,1.1930555555555555,1.1930555555555555,1.053811659192825,1.0,true
