metric,metric_slug,metric_label,municipio,lisa_cluster,lisa_cluster_label,tract_count,valid_tract_count,pct_of_valid_tracts
cdc_svi_2020_overall_percentile,svi,CDC SVI 2020 overall percentile rank (0-100),San Juan,high_low,High-Low (high outlier),2,130,1.5384615384615385
cdc_svi_2020_overall_percentile,svi,CDC SVI 2020 overall percentile rank (0-100),San Juan,low_high,Low-High (low outlier),3,130,2.3076923076923075
cdc_svi_2020_overall_percentile,svi,CDC SVI 2020 overall percentile rank (0-100),San Juan,not_significant,Not significant,81,130,62.30769230769231
cdc_svi_2020_overall_percentile,svi,CDC SVI 2020 overall percentile rank (0-100),Isabela,high_high,High-High (hot spot),0,11,0.0
cdc_svi_2020_overall_percentile,svi,CDC SVI 2020 overall percentile rank (0-100),Isabela,low_low,Low-Low (cold spot),0,11,0.0
cdc_svi_2020_overall_percentile,svi,CDC SVI 2020 overall percentile rank (0-100),Isabela,high_low,High-Low (high outlier),0,11,0.0
cdc_svi_2020_overall_percentile,svi,CDC SVI 2020 overall percentile rank (0-100),Isabela,low_high,Low-High (low outlier),0,11,0.0
cdc_svi_2020_overall_percentile,svi,CDC SVI 2020 overall percentile rank (0-100),Isabela,not_significant,Not significant,11,11,100.0
nsrdb_multiyear_ghi_mean,ghi,NSRDB multiyear GHI mean (W/m2),San Juan,high_high,High-High (hot spot),44,137,32.11678832116788
nsrdb_multiyear_ghi_mean,ghi,NSRDB multiyear GHI mean (W/m2),San Juan,low_low,Low-Low (cold spot),35,137,25.547445255474454
nsrdb_multiyear_ghi_mean,ghi,NSRDB multiyear GHI mean (W/m2),San Juan,high_low,High-Low (high outlier),0,137,0.0
nsrdb_multiyear_ghi_mean,ghi,NSRDB multiyear GHI mean (W/m2),San Juan,low_high,Low-High (low outlier),0,137,0.0
nsrdb_multiyear_ghi_mean,ghi,NSRDB multiyear GHI mean (W/m2),San Juan,not_significant,Not significant,58,137,42.33576642335766
nsrdb_multiyear_ghi_mean,ghi,NSRDB multiyear GHI mean (W/m2),Isabela,high_high,High-High (hot spot),3,11,27.272727272727273
nsrdb_multiyear_ghi_mean,ghi,NSRDB multiyear GHI mean (W/m2),Isabela,low_low,Low-Low (cold spot),3,11,27.272727272727273
nsrdb_multiyear_ghi_mean,ghi,NSRDB multiyear GHI mean (W/m2),Isabela,high_low,High-Low (high outlier),0,11,0.0
nsrdb_multiyear_ghi_mean,ghi,NSRDB multiyear GHI mean (W/m2),Isabela,low_high,Low-High (low outlier),0,11,0.0
nsrdb_multiyear_ghi_mean,ghi,NSRDB multiyear GHI mean (W/m2),Isabela,not_significant,Not significant,5,11,45.45454545454545
