scope,outcome,covariate,n,pearson_r,pearson_p,spearman_rho,spearman_p
pooled,any_pv_evidence_buildings_per_1000,nsrdb_multiyear_ghi_mean,148,-0.12820318436539774,0.12045899093879332,-0.18557319276216427,0.02393916392441861
pooled,any_pv_evidence_buildings_per_1000,median_household_income_usd,138,0.3810417635336848,4.013636991866496e-06,0.42972785691583204,1.4422964491818458e-07
pooled,any_pv_evidence_buildings_per_1000,pct_bachelor_plus,138,0.42000858373267064,2.923703725318277e-07,0.5357828621266744,1.2745407402255267e-11
pooled,any_pv_evidence_buildings_per_1000,pct_owner_occupied,138,0.04816942698240609,0.574769298853882,0.1250744885135201,0.14383051572011973
pooled,any_pv_evidence_buildings_per_1000,pct_spanish_english_well_18_64,138,0.202979029447303,0.016954839467852263,0.32343962976239127,0.00010904384995822403
pooled,any_pv_evidence_buildings_per_1000,pct_spanish_english_not_at_all_18_64,138,-0.38495002021665203,3.1323150990057864e-06,-0.5179222742152997,7.741650538615391e-11
pooled,any_pv_evidence_buildings_per_1000,cdc_svi_2020_overall_percentile,141,-0.4011127264786891,8.259155806754899e-07,-0.47459651526178337,2.7564586093104097e-09
pooled,any_pv_evidence_buildings_per_1000,pct_urban_land_area,148,0.077975760929395,0.3461885235823583,-0.00498691714355513,0.9520326376507293
Isabela,any_pv_evidence_buildings_per_1000,nsrdb_multiyear_ghi_mean,11,0.41400120348286323,0.2055738874669779,0.6545454545454547,0.028864598957001903
Isabela,any_pv_evidence_buildings_per_1000,median_household_income_usd,11,0.05277504564691249,0.8775270656238804,0.10000000000000002,0.7698749998921367
Isabela,any_pv_evidence_buildings_per_1000,pct_bachelor_plus,11,0.4751297814689332,0.1397023104092922,0.39090909090909093,0.23454006709519437
Isabela,any_pv_evidence_buildings_per_1000,pct_owner_occupied,11,-0.3709041591489203,0.2614474703445811,-0.18181818181818182,0.5926152128455
Isabela,any_pv_evidence_buildings_per_1000,pct_spanish_english_well_18_64,11,0.7575251966171798,0.0069249932685934035,0.5363636363636364,0.08895341813596268
Isabela,any_pv_evidence_buildings_per_1000,pct_spanish_english_not_at_all_18_64,11,-0.851785075647416,0.0008742256496948808,-0.6454545454545455,0.03196279932801746
Isabela,any_pv_evidence_buildings_per_1000,cdc_svi_2020_overall_percentile,11,-0.4013584377892001,0.2211541762738144,-0.29090909090909095,0.3854569696913654
Isabela,any_pv_evidence_buildings_per_1000,pct_urban_land_area,11,0.1613823315312791,0.6354637967402885,0.30236577422893196,0.36613444614829815
San Juan,any_pv_evidence_buildings_per_1000,nsrdb_multiyear_ghi_mean,137,-0.11036257787751233,0.1991942440534432,-0.17407953627950173,0.041907231751907255
San Juan,any_pv_evidence_buildings_per_1000,median_household_income_usd,127,0.37363299158667984,1.5131628715957978e-05,0.42561593094922767,6.089930403080843e-07
San Juan,any_pv_evidence_buildings_per_1000,pct_bachelor_plus,127,0.4047878541063977,2.355348028919664e-06,0.5162694506936633,5.212289145474876e-10
San Juan,any_pv_evidence_buildings_per_1000,pct_owner_occupied,127,0.08656281473401996,0.33320122100826466,0.16657390428379404,0.061243827605114376
San Juan,any_pv_evidence_buildings_per_1000,pct_spanish_english_well_18_64,127,0.18286976806096156,0.03960472697921464,0.2914557555305587,0.0008856203212543067
San Juan,any_pv_evidence_buildings_per_1000,pct_spanish_english_not_at_all_18_64,127,-0.363117510976504,2.719089284152183e-05,-0.48939364424271575,5.262350910300103e-09
San Juan,any_pv_evidence_buildings_per_1000,cdc_svi_2020_overall_percentile,130,-0.4087802447412325,1.3758876509099786e-06,-0.4807630856627838,7.0719752751252976e-09
San Juan,any_pv_evidence_buildings_per_1000,pct_urban_land_area,137,-0.13939505122459053,0.1042543226222308,-0.15517225381845015,0.07020490408360884
