municipio,cluster_id,cluster_label,is_noise,bg_count,building_count,dbscan_eps,dbscan_min_samples,mean_detected_pv_rate,mean_annual_flux_mean_kwh_per_kw_yr,mean_median_household_income_usd,mean_pct_bachelor_plus,mean_pct_owner_occupied,mean_diversity_index,mean_pct_urban_population
Isabela,0,isabela_cluster_0,False,29,38921,3.3492788446431536,5,0.08040748281813939,1617.940477117361,23882.76,0.23249217060067492,0.648639033803036,0.036702676917294216,1.0245237180579572
San Juan,-1,noise,True,23,3965,1.9427733708403943,5,0.20293740440408972,1512.846639803198,74324.93333333333,0.6225052229773179,0.551534614585307,0.16381028387931523,1.621570680805747
San Juan,0,san_juan_cluster_0,False,339,122068,1.9427733708403943,5,0.09435961059637131,1582.311935910388,32244.01083032491,0.37734501731587994,0.5280909913471815,0.023053864231485487,1.0930594887525884
